algorithm,z_mean,z_std,gap_mean,service_mean,inv_mean,time_mean,n_runs,feasible_pct,algorithm_label
baseline,552277686.7837336,,3.369528549901049,56.4843758197804,17821.311832720072,0.017874002456665,1,100.0,Baseline
ga,552277686.7837336,,3.369528549901049,56.4843758197804,17821.311832720072,88.89620876312256,1,100.0,GA
sa,514861522.9600281,,9.916129357176844,54.84201446379766,16753.084546356567,8.751695156097412,1,100.0,SA
de,552277686.7837336,,3.369528549901049,56.4843758197804,17821.311832720072,111.60513639450072,1,100.0,DE
ga_sa,552277686.7837336,,3.369528549901049,56.4843758197804,17821.311832720072,64.38340878486633,1,100.0,GA-SA
cbc_exact,571535746.9501077,,0.0,56.17383829599589,946.5235453895832,0.9728288650512696,1,100.0,CBC (Exact)
