product,date,month,year,value,variable_type,source_file,source_table,source_page
medio_pollo,2013-05-01,5,2013,102.076,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2013-06-01,6,2013,108.351,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2013-07-01,7,2013,104.105,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2013-08-01,8,2013,109.812,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2013-09-01,9,2013,113.43,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2013-10-01,10,2013,110.209,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2013-11-01,11,2013,114.716,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2013-12-01,12,2013,111.838,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-01-01,1,2014,106.197,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-02-01,2,2014,110.134,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-03-01,3,2014,103.197,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-04-01,4,2014,105.954,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-05-01,5,2014,109.403,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-06-01,6,2014,112.678,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-07-01,7,2014,111.062,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-08-01,8,2014,116.671,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-09-01,9,2014,116.617,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
