product,date,month,year,value,variable_type,source_file,source_table,source_page
medio_pollo,2016-09-01,9,2016,6.98,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2016-10-01,10,2016,7.05,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2016-11-01,11,2016,7.2,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2016-12-01,12,2016,7.267,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-01-01,1,2017,7.146,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-02-01,2,2017,6.983,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-03-01,3,2017,6.533,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-04-01,4,2017,6.775,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-05-01,5,2017,6.625,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-06-01,6,2017,6.443,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-07-01,7,2017,6.492,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-08-01,8,2017,6.777,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-09-01,9,2017,6.842,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-10-01,10,2017,6.756,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-11-01,11,2017,6.583,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2017-12-01,12,2017,6.671,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-01-01,1,2018,6.942,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-02-01,2,2018,6.8,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-03-01,3,2018,7.187,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-04-01,4,2018,7.1,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-05-01,5,2018,6.893,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-06-01,6,2018,7.067,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-07-01,7,2018,7.067,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-08-01,8,2018,6.88,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-09-01,9,2018,6.733,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-10-01,10,2018,7.025,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-11-01,11,2018,6.86,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2018-12-01,12,2018,6.983,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-01-01,1,2019,7.027,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-02-01,2,2019,7.067,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-03-01,3,2019,7.05,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-04-01,4,2019,7.046,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-05-01,5,2019,7.067,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-06-01,6,2019,6.9,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-07-01,7,2019,6.954,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
medio_pollo,2019-08-01,8,2019,7.013,price_cop_kg,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.5.3,101
