"Meses","2018","2019","2020","2021"
"Ene","6.213","6.190","6.233","7.700"
"Feb","6.513","6.326","6.079","7.831"
"Mar","6.263","6.358","6.346","7.738"
"Abr","6.446","6.167","6.633","7.646"
"May","6.237","5.981","6.384","8.147"
"Jun","6.133","5.813","7.121","8.290"
"Jul","6.121","5.922","7.882","7.730"
"Ago","5.933","6.000","7.708","9.033"
"Sep","6.283","6.251","7.050",""
"Oct","6.313","6.120","6.750",""
"Nov","6.258","6.412","7.194",""
"Dic","6.209","6.287","7.583",""
