"Meses","2018","2019","2020","2021"
"Ene","6.954","6.833","7.340","8.075"
"Feb","7.146","6.687","7.384","8.325"
"Mar","6.871","6.892","7.708","8.287"
"Abr","6.621","6.754","7.463","8.140"
"May","6.353","6.505","7.029","9.206"
"Jun","6.392","6.520","8.283","9.206"
"Jul","6.517","6.772","8.525","8.475"
"Ago","6.204","6.777","8.565","9.777"
"Sep","6.734","7.352","7.488",""
"Oct","6.943","7.018","7.040",""
"Nov","7.128","7.246","7.438",""
"Dic","6.753","7.179","7.650",""
