"Meses","2018","2019","2020","2021"
"Ene","8.465","8.437","8.863","9.131"
"Feb","8.275","8.416","8.604","8.888"
"Mar","8.267","8.558","8.308","9.480"
"Abr","8.260","7.858","7.007","9.538"
"May","8.097","7.981","6.704","10.581"
"Jun","7.875","8.133","8.675","11.511"
"Jul","7.896","8.412","8.703","11.760"
"Ago","7.780","8.161","8.500","12.567"
"Sep","7.884","8.628","7.956",""
"Oct","7.910","8.534","7.885",""
"Nov","8.259","8.746","8.225",""
"Dic","8.679","8.650","8.602",""
