algorithm,size_profile,n_pairs,mean_delta_z_pct,p05_delta_z_pct,p95_delta_z_pct,mean_delta_service_pp,mean_delta_low_rotation_pct,mean_delta_elapsed_pct
baseline,small,2,13.891752408387594,13.891752408387594,13.891752408387594,8.126683452700618,-100.0,-3.759670053492005
cbc_exact,small,1,13.72222516814397,13.72222516814397,13.72222516814397,8.137471018861604,-100.0,-14.15490839418973
ga_sa,small,2,18.818005965169135,16.864573413324393,20.771438517013873,8.43634272823348,-100.0,3.28515552186956
