algorithm,size_profile,instance_seed,run_seed,z_stable,service_stable,low_rotation_stable,elapsed_stable,z_seasonal,service_seasonal,low_rotation_seasonal,elapsed_seasonal,delta_z_pct,delta_service_pp,delta_low_rotation_pct,delta_elapsed_pct
baseline,small,42,1,552277686.7837336,56.4843758197804,491.17381517409456,0.0214848518371582,628998735.6385002,64.61105927248101,0.0,0.0189282894134521,13.891752408387594,8.126683452700618,-100.0,-11.899371906696175
baseline,small,42,2,552277686.7837336,56.4843758197804,491.17381517409456,0.0188937187194824,628998735.6385002,64.61105927248101,0.0,0.0197212696075439,13.891752408387594,8.126683452700618,-100.0,4.380031799712165
ga_sa,small,42,1,506899678.483283,54.53037531578332,229.5038602376129,6.787467241287232,613290249.4673445,63.76618800926587,0.0,6.993721008300781,20.988486578329955,9.23581269348255,-100.0,3.0387441984093204
ga_sa,small,42,2,475732529.8797736,53.18618580240867,427.3738151740946,6.931223154067993,554930223.3992594,60.82305856539308,0.0,7.176003932952881,16.647525352008312,7.63687276298441,-100.0,3.5315668453297997
cbc_exact,small,42,1,571535746.9501077,56.17383829599589,491.173815,1.8015987873077397,649963169.063035,64.3113093148575,0.0,1.546584129333496,13.72222516814397,8.137471018861604,-100.0,-14.15490839418973
