algorithm,instance,z_mean,z_std,gap_mean,service_mean,time_mean,n_runs
baseline,large_seed123,1579857223.7070725,,20.295053719294824,70.71162897009133,0.2108316421508789,1
baseline,large_seed42,1594853082.365755,,20.057823788490538,71.12795820995686,0.1546058654785156,1
baseline,large_seed456,1589906504.3223472,,20.23163237988827,71.10454668351849,0.5131616592407227,1
baseline,medium_seed123,557587550.8502722,,3.328640728981456,57.05428395569025,0.0313024520874023,1
baseline,medium_seed42,551611597.6838298,,3.440152304475277,56.48101833972543,0.0313572883605957,1
baseline,medium_seed456,555143346.2972611,,3.399011304876867,56.84970990595867,0.0294928550720214,1
baseline,small_seed123,558430771.4228833,,3.432795980121438,57.1520122955377,0.0101866722106933,1
baseline,small_seed42,552277686.7837336,,3.369528549901049,56.4843758197804,0.0211403369903564,1
baseline,small_seed456,555566737.353149,,3.381372636774245,56.94280930114696,0.0101172924041748,1
cbc_exact,large_seed123,1982131972.265718,,0.0,70.12335736566997,25.06686282157898,1
cbc_exact,large_seed42,1995008339.7105975,,0.0,70.44946346207334,34.85442757606506,1
cbc_exact,large_seed456,1993154118.3017635,,0.0,70.60399549199887,26.901581287384037,1
cbc_exact,medium_seed123,576786708.1366605,,0.0,56.80994101406539,2.512934684753418,1
cbc_exact,medium_seed42,571263947.5397551,,0.0,56.310303879501866,2.2784876823425293,1
cbc_exact,medium_seed456,574676671.3219855,,0.0,56.64773337112582,2.1318888664245605,1
cbc_exact,small_seed123,578282013.1231397,,0.0,56.9954714923246,0.6888828277587891,1
cbc_exact,small_seed42,571535746.9501077,,0.0,56.17383829599589,0.719334602355957,1
cbc_exact,small_seed456,575009967.037272,,0.0,56.76748253720231,0.735924243927002,1
de,large_seed123,1629431114.0059245,8753604.78067447,17.794014888757957,66.10212560789417,442.9103676875432,30
de,large_seed42,1646929751.46485,7704917.4452693425,17.447475347207885,66.63606904945937,923.1760991334916,30
de,large_seed456,1641421945.1894236,8597074.8133382,17.647013338438054,66.55304620412575,671.1316574494044,30
de,medium_seed123,557581400.2156055,23812.709164763775,3.32970709104908,57.0540097413866,184.8744567235311,30
de,medium_seed42,551608521.321163,8486.679156158541,3.4406908230847395,56.48088248545677,142.00395420392354,30
de,medium_seed456,555135308.0104568,34422.669046557516,3.400410054331199,56.84935414095196,136.25317801634472,30
de,small_seed123,558418422.1728833,40513.29242753097,3.434931486625143,57.15146191448482,70.9547813574473,30
de,small_seed42,552270276.6670669,34063.58096386801,3.3708250771447443,56.48405171873526,69.2160301844279,30
de,small_seed456,555561806.603149,18180.78874754173,3.3822301436493705,56.942591666958045,61.611674952507016,30
ga,large_seed123,1607096055.424189,11253057.475406608,18.920834842941165,64.8221386291012,1169.8067858934403,30
ga,large_seed42,1622061944.317102,12477439.991359657,18.693976760397724,65.15329900712977,812.580621679624,30
ga,large_seed456,1619578390.0274622,10068487.896551698,18.742942396878,65.38508603841576,1732.9694348255794,30
ga,medium_seed123,557587550.8502722,0.0,3.328640728981456,57.05428395569025,75.19525611400604,30
ga,medium_seed42,551611597.6838298,0.0,3.440152304475277,56.48101833972543,76.02447855472565,30
ga,medium_seed456,555143346.2972611,0.0,3.399011304876867,56.84970990595867,82.35872738361358,30
ga,small_seed123,558430771.4228833,0.0,3.432795980121438,57.1520122955377,56.382458511988325,30
ga,small_seed42,552277686.7837336,0.0,3.369528549901049,56.4843758197804,64.21218132177988,30
ga,small_seed456,555566737.353149,0.0,3.381372636774245,56.94280930114696,34.08873314857483,30
ga_sa,large_seed123,1631656014.9804091,1342281.1686522122,17.681767015981777,66.35033723571992,718.3675875345866,30
ga_sa,large_seed42,1647056250.3363729,2242526.257102487,17.44113457814917,66.79316761144388,1261.3914964675903,30
ga_sa,large_seed456,1642459721.7222686,1951801.2714169899,17.59494628936665,66.67070796897254,894.3911341269811,30
ga_sa,medium_seed123,557587550.8502722,0.0,3.328640728981456,57.05428395569025,81.25085754394532,30
ga_sa,medium_seed42,551611597.6838298,0.0,3.440152304475277,56.48101833972543,99.9094124952952,30
ga_sa,medium_seed456,555143346.2972611,0.0,3.399011304876867,56.84970990595867,70.97888322671254,30
ga_sa,small_seed123,558430771.4228833,0.0,3.432795980121438,57.1520122955377,89.70383822917938,30
ga_sa,small_seed42,552277686.7837336,0.0,3.369528549901049,56.4843758197804,55.325129771232604,30
ga_sa,small_seed456,555566737.353149,0.0,3.381372636774245,56.94280930114696,42.41952292919159,30
sa,large_seed123,1612590346.2922819,7646863.179839844,18.64364387155431,64.95143296577675,67.53182247479756,30
sa,large_seed42,1626027025.0795763,9492343.05365891,18.495226675821666,65.17598517805881,61.82598794301351,30
sa,large_seed456,1619909607.4122128,8915695.070799435,18.726324646062377,65.15639881084525,54.12466204166412,30
sa,medium_seed123,518452644.68083704,28233075.44047647,10.113628249907952,55.33128580014713,9.19920465151469,30
sa,medium_seed42,511603895.3471145,28783387.916701257,10.443517825617517,54.73477200684601,12.61081304550171,30
sa,medium_seed456,514482098.63092816,28052778.947258763,10.47451126780313,55.06209332617858,10.914308007558187,30
sa,small_seed123,518026591.3262567,28847457.558072686,10.419729548816553,55.366053297997254,15.411243756612143,30
sa,small_seed42,513046730.2221292,28089394.72411898,10.233658531438152,54.77474215565635,13.606392121315002,30
sa,small_seed456,514818660.14095443,28351129.547149353,10.467871923412405,55.15454015811553,6.948059312502543,30
