algorithm,z_mean,z_std,gap_mean,service_mean,inv_mean,time_mean,n_runs,feasible_pct,algorithm_label
baseline,899470500.087367,516570010.4191728,8.992890154755996,61.545371497934006,50449.65955638557,0.1124662293328179,9,100.0,Baseline
ga,908817120.0177647,501216074.73829806,8.523250611705247,59.59163703249846,34500.022285443585,455.9576308259258,270,100.0,GA
sa,883217511.0146991,522140338.33808446,13.113123615603785,58.4119226332913,33570.88251323814,28.0191659282755,270,100.0,SA
de,916484282.8500581,512072980.2078875,8.138588694476462,60.02817694771697,36010.85630722798,300.23691107873566,270,100.0,DE
ga_sa,916865519.7144644,512578412.2529246,8.118816598736437,60.08649138155286,36337.081696557834,368.1930958138572,270,100.0,GA-SA
cbc_exact,1046427720.4874444,707764821.6740571,0.0,61.20906521221756,2136.0553487205857,10.654480510287815,9,100.0,CBC (Exact)
