parameter,delta,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,instance_name
prices,0.0,1,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,118.03697919845581,5260,True,medium_seed42_prices_+0%
costs,0.0,1,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,147.85795211791992,5260,True,medium_seed42_costs_+0%
