parameter,delta,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,instance_name
prices,0.0,1,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,81.5410885810852,5260,True,medium_seed42_prices_+0%
prices,0.0,2,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,64.09850430488586,5727,True,medium_seed42_prices_+0%
prices,0.0,3,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,73.73217988014221,6354,True,medium_seed42_prices_+0%
prices,0.0,4,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,102.44640731811523,6973,True,medium_seed42_prices_+0%
prices,0.0,5,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,104.45742058753967,6272,True,medium_seed42_prices_+0%
prices,0.0,6,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,103.83863520622253,5963,True,medium_seed42_prices_+0%
prices,0.0,7,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,126.26444673538208,6274,True,medium_seed42_prices_+0%
prices,0.0,8,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,107.09885334968567,5649,True,medium_seed42_prices_+0%
prices,0.0,9,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,130.68385767936707,6969,True,medium_seed42_prices_+0%
prices,0.0,10,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,105.00676584243774,5729,True,medium_seed42_prices_+0%
prices,0.0,11,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,156.68579173088074,8136,True,medium_seed42_prices_+0%
prices,0.0,12,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,99.1316065788269,5731,True,medium_seed42_prices_+0%
prices,0.0,13,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,142.18262219429016,5336,True,medium_seed42_prices_+0%
prices,0.0,14,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,98.57951092720032,6466,True,medium_seed42_prices_+0%
prices,0.0,15,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,84.39566493034363,6353,True,medium_seed42_prices_+0%
prices,0.0,16,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,96.14014387130737,5958,True,medium_seed42_prices_+0%
prices,0.0,17,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,126.28386116027832,7091,True,medium_seed42_prices_+0%
prices,0.0,18,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,106.58217525482178,5800,True,medium_seed42_prices_+0%
prices,0.0,19,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,97.153883934021,5305,True,medium_seed42_prices_+0%
prices,0.0,20,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,126.86645078659058,6974,True,medium_seed42_prices_+0%
prices,0.0,21,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,92.88555908203125,5260,True,medium_seed42_prices_+0%
prices,0.0,22,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,102.00988864898682,6591,True,medium_seed42_prices_+0%
prices,0.0,23,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,90.78415846824646,6314,True,medium_seed42_prices_+0%
prices,0.0,24,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,91.99287271499634,6308,True,medium_seed42_prices_+0%
prices,0.0,25,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,88.8180103302002,5926,True,medium_seed42_prices_+0%
prices,0.0,26,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,58.07332992553711,5767,True,medium_seed42_prices_+0%
prices,0.0,27,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,54.57421326637268,5850,True,medium_seed42_prices_+0%
prices,0.0,28,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,68.85239839553833,6278,True,medium_seed42_prices_+0%
prices,0.0,29,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,106.09141445159912,5848,True,medium_seed42_prices_+0%
prices,0.0,30,551611597.6838298,0.0,56.48101833972543,17939.98800711172,571.3854187049747,134.71996021270752,6941,True,medium_seed42_prices_+0%
prices,-0.2,1,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,112.04217624664307,5260,True,medium_seed42_prices_-20%
prices,-0.2,2,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,125.14502692222595,5765,True,medium_seed42_prices_-20%
prices,-0.2,3,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,134.18678283691406,6354,True,medium_seed42_prices_-20%
prices,-0.2,4,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,136.48425126075745,6973,True,medium_seed42_prices_-20%
prices,-0.2,5,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,130.3192422389984,6552,True,medium_seed42_prices_-20%
prices,-0.2,6,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,129.68391156196594,5723,True,medium_seed42_prices_-20%
prices,-0.2,7,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,130.90444087982178,5723,True,medium_seed42_prices_-20%
prices,-0.2,8,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,123.31473302841187,6311,True,medium_seed42_prices_-20%
prices,-0.2,9,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,111.4694414138794,6967,True,medium_seed42_prices_-20%
prices,-0.2,10,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,57.00456190109253,5729,True,medium_seed42_prices_-20%
prices,-0.2,11,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,60.29492521286011,6312,True,medium_seed42_prices_-20%
prices,-0.2,12,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,83.81093215942383,6350,True,medium_seed42_prices_-20%
prices,-0.2,13,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,75.88002562522888,5336,True,medium_seed42_prices_-20%
prices,-0.2,14,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,78.63260388374329,5019,True,medium_seed42_prices_-20%
