demand_profile,algorithm,n_runs,feasible_rate_pct,mean_z,std_z,mean_service,mean_low_rotation_inv,mean_elapsed_seconds
seasonal,baseline,10,100.0,629129833.2634202,138189.0301952612,64.63305111750626,0.0,0.02872970104217524
seasonal,cbc_exact,2,100.0,650239223.1666161,390399.45723309764,64.40493398257755,0.0,9.309934973716736
seasonal,de,10,100.0,629128286.3534203,139895.6598823957,64.63296151688435,0.0,425.99218037128446
seasonal,ga,10,100.0,629129833.2634202,138189.0301952612,64.63305111750626,0.0,340.9466245174408
seasonal,ga_sa,10,100.0,629129833.2634202,138189.0301952612,64.63305111750626,0.0,401.2830255508423
seasonal,sa,10,100.0,581234905.6950186,43458099.65147749,62.12704782052433,0.0,43.24399292469025
stable,baseline,10,100.0,551944642.2337817,351059.78005127807,56.48269707975292,531.2796169395345,0.027001357078552203
stable,cbc_exact,2,100.0,571399847.2449315,192191.20618277774,56.24207108774888,531.2796162,9.570626974105835
stable,de,10,100.0,551939216.6757817,353259.7841679031,56.48245733505945,531.2796169395345,319.5440583705902
stable,ga,10,100.0,551944642.2337817,351059.78005127807,56.48269707975292,531.2796169395345,229.96514489650727
stable,ga_sa,10,100.0,551944642.2337817,351059.78005127807,56.48269707975292,531.2796169395345,430.0484969139099
stable,sa,10,100.0,504292761.8682661,43949971.200745985,54.40513716929606,430.3650199788917,36.158086800575255
