demand_profile,algorithm,n_runs,feasible_rate_pct,mean_z,std_z,mean_service,mean_low_rotation_inv,mean_elapsed_seconds
seasonal,baseline,2,100.0,628998735.6385002,0.0,64.61105927248101,0.0,0.019324779510498
seasonal,cbc_exact,1,100.0,649963169.063035,,64.3113093148575,0.0,1.546584129333496
seasonal,ga_sa,2,100.0,584110236.4333019,41266770.1829666,62.29462328732947,0.0,7.084862470626831
stable,baseline,2,100.0,552277686.7837336,0.0,56.4843758197804,491.17381517409456,0.0201892852783203
stable,cbc_exact,1,100.0,571535746.9501077,,56.17383829599589,491.173815,1.8015987873077397
stable,ga_sa,2,100.0,491316104.18152833,22038502.127790328,53.858280559095995,328.43883770585376,6.859345197677612
