algorithm,size_profile,instance_seed,run_seed,z_stable,service_stable,low_rotation_stable,elapsed_stable,z_seasonal,service_seasonal,low_rotation_seasonal,elapsed_seasonal,delta_z_pct,delta_service_pp,delta_low_rotation_pct,delta_elapsed_pct
baseline,medium,42,1,551611597.6838298,56.48101833972543,571.3854187049747,0.0418148040771484,629260930.8883402,64.65504296253151,0.0,0.0394880771636962,14.07681302034863,8.17402462280608,-100.0,-5.564361629339188
baseline,medium,42,2,551611597.6838298,56.48101833972543,571.3854187049747,0.0344789028167724,629260930.8883402,64.65504296253151,0.0,0.0388839244842529,14.07681302034863,8.17402462280608,-100.0,12.775991425509234
baseline,medium,42,3,551611597.6838298,56.48101833972543,571.3854187049747,0.0378179550170898,629260930.8883402,64.65504296253151,0.0,0.0389044284820556,14.07681302034863,8.17402462280608,-100.0,2.8729037952338405
baseline,medium,42,4,551611597.6838298,56.48101833972543,571.3854187049747,0.0368177890777587,629260930.8883402,64.65504296253151,0.0,0.0394272804260253,14.07681302034863,8.17402462280608,-100.0,7.087582969078858
baseline,medium,42,5,551611597.6838298,56.48101833972543,571.3854187049747,0.0375983715057373,629260930.8883402,64.65504296253151,0.0,0.0372793674468994,14.07681302034863,8.17402462280608,-100.0,-0.8484517974115431
baseline,small,42,1,552277686.7837336,56.4843758197804,491.17381517409456,0.0170328617095947,628998735.6385002,64.61105927248101,0.0,0.017493724822998,13.891752408387594,8.126683452700618,-100.0,2.7057292031185396
baseline,small,42,2,552277686.7837336,56.4843758197804,491.17381517409456,0.016050100326538,628998735.6385002,64.61105927248101,0.0,0.0190188884735107,13.891752408387594,8.126683452700618,-100.0,18.497006788574186
baseline,small,42,3,552277686.7837336,56.4843758197804,491.17381517409456,0.0148348808288574,628998735.6385002,64.61105927248101,0.0,0.0181500911712646,13.891752408387594,8.126683452700618,-100.0,22.347401240718575
baseline,small,42,4,552277686.7837336,56.4843758197804,491.17381517409456,0.0158262252807617,628998735.6385002,64.61105927248101,0.0,0.0155591964721679,13.891752408387594,8.126683452700618,-100.0,-1.6872551973489296
baseline,small,42,5,552277686.7837336,56.4843758197804,491.17381517409456,0.0177416801452636,628998735.6385002,64.61105927248101,0.0,0.0230920314788818,13.891752408387594,8.126683452700618,-100.0,30.156959711882514
cbc_exact,medium,42,1,571263947.5397551,56.310303879501866,571.3854174,12.516430139541626,650515277.2701972,64.49855865029758,0.0,12.392898797988892,13.872979394507794,8.188254770795716,-100.0,-0.9869534697635305
