parameter,delta,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,instance_name
prices,0.0,1,181329564.6464805,0.0,40.36403352721883,10596.742685566549,195.840921378752,0.5422146320343018,65,True,medium_seed42_prices_+0%
costs,0.0,1,181329564.6464805,0.0,40.36403352721883,10596.742685566549,195.840921378752,0.5311150550842285,65,True,medium_seed42_costs_+0%
demand_variability,0.0,1,181329564.6464805,0.0,40.36403352721883,10596.742685566549,195.840921378752,0.5258467197418213,65,True,medium_seed42_demvar_+0%
