algorithm,iteration,diversity_mean,diversity_std,n_runs
de,0,0.3906059055533966,0.004575931288521272,270
de,1,0.34600682517683534,0.012159123349151023,270
de,2,0.2893121380363976,0.017521289235085558,270
de,3,0.23481151888557267,0.021358787760306076,270
de,4,0.18925645072130517,0.020440981917318198,270
de,5,0.15060879316606393,0.019725115909078363,270
de,6,0.12417244140942138,0.02070426313498418,270
de,7,0.10131529000334893,0.02022023001927452,270
de,8,0.08450535053545587,0.01994618134892113,270
de,9,0.07118498227190198,0.019511291164780894,270
de,10,0.06020240135700307,0.01854366812193541,270
de,11,0.05190254935802079,0.01766935941343622,270
de,12,0.04417082708697953,0.016161040623939457,270
de,13,0.03869754119068857,0.015554897081809807,270
de,14,0.033516082363750914,0.015072396610772433,270
de,15,0.02926523088941274,0.014013949637236536,270
de,16,0.025628691962087002,0.01332517899737894,270
de,17,0.02261677205195165,0.012483175641772938,270
de,18,0.0197088223436848,0.011484470870626961,270
de,19,0.017581670222975736,0.011035938432203012,270
de,20,0.015739271555771286,0.010471101439771938,270
de,21,0.013793338461026485,0.00994547590983861,270
de,22,0.012346722184057982,0.009161252397784456,270
de,23,0.010876577468211107,0.008488590748985737,270
de,24,0.009771303269377023,0.008028996834322594,270
de,25,0.00870923376352628,0.007653140829407636,270
de,26,0.007723575525899927,0.007149698490514851,270
de,27,0.00681681689092069,0.006617452572667416,270
de,28,0.006085920571162232,0.006215634491627553,270
de,29,0.005436602285605883,0.0059810869922879715,270
de,30,0.004916013017893018,0.005707922477477061,270
de,31,0.004428572508654577,0.005422450677740104,270
de,32,0.003970238101134771,0.005105603676907292,270
de,33,0.003628418485916022,0.004869799953996469,270
de,34,0.003371654272662661,0.004665511024292366,270
de,35,0.0031157163577888013,0.004456406523118757,270
de,36,0.0029122581075830016,0.004238785345393406,270
de,37,0.002756474432751989,0.004087623463520633,270
de,38,0.0026013658388787477,0.003948382185061069,270
de,39,0.00246390233305557,0.003783637178688295,270
de,40,0.0023511551768850103,0.0036068571204511774,270
de,41,0.002221882381834101,0.0034294633516685578,270
de,42,0.00210021606621421,0.0032819925660331,270
de,43,0.002029290632439377,0.0032390683735748116,270
de,44,0.0019822764805826855,0.003230425948549519,270
de,45,0.0019256531991569546,0.0031646714463745575,270
de,46,0.0018501644302068509,0.003028823118375041,270
de,47,0.001773489730419467,0.002899836320486425,270
de,48,0.001705689036327307,0.002787562475454381,270
de,49,0.0016319852564153458,0.0026808680477667774,270
de,50,0.001608225242850874,0.0026546810366443858,270
de,51,0.0015720031753394636,0.002619585820702146,270
de,52,0.0014698219967168573,0.002476157186573435,270
de,53,0.0013828481021360688,0.002334477940923559,270
de,54,0.0013368318632132343,0.0022716222976255657,270
de,55,0.001276788222305005,0.0021572865130838593,270
de,56,0.0012514512643879067,0.0021283169411083344,270
de,57,0.0012061081297103872,0.002063196129381695,270
de,58,0.001137379508345107,0.0019514093591527942,270
de,59,0.0010642688957296503,0.0018083367896707886,270
de,60,0.0010154727579781333,0.0017075373822518223,270
de,61,0.00099023176772656,0.0017011642038767837,270
de,62,0.000971932724666156,0.0017181170655702293,270
de,63,0.0009486624800635867,0.0016978415005627857,270
de,64,0.0009393328802672524,0.001677583533272006,270
de,65,0.0009334403438458485,0.001671075843940545,270
de,66,0.0009326755452574148,0.0016992893946665266,270
de,67,0.0008934441650415583,0.0016216336837385822,270
de,68,0.0008688643621259978,0.001584699543713148,270
de,69,0.0008510482694496378,0.0015554274016429085,270
de,70,0.0008287877323091403,0.00151834207940643,270
de,71,0.0008170389255991692,0.0015113907703783677,270
de,72,0.000800271915204055,0.0014926483277093929,270
de,73,0.0007755024645704723,0.0014561542030154073,270
de,74,0.0007602489644489798,0.00144513894424209,270
de,75,0.0007624095673901836,0.0014660089673448123,270
de,76,0.0007486120267887321,0.0014537168434263028,270
