algorithm,instance,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,size,complexity,case_id
cbc_exact,small_seed42,1,571535746.9501077,0.0,56.17383829599589,946.5235453895832,491.173815,0.719334602355957,0,True,small,1440,small_seed42_s1
cbc_exact,small_seed123,1,578282013.1231397,0.0,56.9954714923246,975.9703647453332,0.0,0.6888828277587891,0,True,small,1440,small_seed123_s1
cbc_exact,small_seed456,1,575009967.037272,0.0,56.76748253720231,1047.8641422291666,162.95531499999998,0.735924243927002,0,True,small,1440,small_seed456_s1
cbc_exact,medium_seed42,1,571263947.5397551,0.0,56.310303879501866,1109.2575942646663,571.3854174,2.2784876823425293,0,True,medium,3600,medium_seed42_s1
cbc_exact,medium_seed123,1,576786708.1366605,0.0,56.80994101406539,1033.3936219749996,0.0,2.512934684753418,0,True,medium,3600,medium_seed123_s1
cbc_exact,medium_seed456,1,574676671.3219855,0.0,56.64773337112582,1009.58288613085,0.0,2.1318888664245605,0,True,medium,3600,medium_seed456_s1
cbc_exact,large_seed42,1,1995008339.7105975,0.0,70.44946346207334,4288.5515068031,0.0,34.85442757606506,0,True,large,19200,large_seed42_s1
cbc_exact,large_seed123,1,1982131972.265718,0.0,70.12335736566997,4344.804752985647,0.0,25.06686282157898,0,True,large,19200,large_seed123_s1
cbc_exact,large_seed456,1,1993154118.3017635,0.0,70.60399549199887,4468.549723961929,0.0,26.901581287384037,0,True,large,19200,large_seed456_s1
ga,small_seed42,1,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,63.25198531150818,8667,True,small,1440,small_seed42_s1
ga,small_seed42,2,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,69.93010258674622,9476,True,small,1440,small_seed42_s2
ga,small_seed42,3,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,61.52608942985535,8194,True,small,1440,small_seed42_s3
ga,small_seed42,4,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,69.71644067764282,9147,True,small,1440,small_seed42_s4
ga,small_seed42,5,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,65.76392769813538,8672,True,small,1440,small_seed42_s5
ga,small_seed42,6,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,63.22378921508789,8106,True,small,1440,small_seed42_s6
