algorithm,a,k,r2,n_points
baseline,1.9970609553406604e-06,1.1996059264086403,0.9897809868401468,3
cbc_exact,1.925914121431927e-05,1.4388957598088348,0.998297528702087,3
de,0.10323982464480908,0.8916848504829196,0.9999606095243648,3
ga,0.003483452117577972,1.2793714198503254,0.9449642754025316,3
ga_sa,0.015507432340520528,1.1029355798938445,0.9353081739134395,3
sa,0.06526380086734569,0.6782138394082718,0.844722636216948,3
