algorithm,n_evaluations,mean_norm_z,std_norm_z,n_runs
ga,0.0,0.0,0.0,270
ga,101.46540880503144,0.01597225495384864,0.02956350635437994,270
ga,202.9308176100629,0.11071356486100356,0.12192486998244456,270
ga,304.39622641509436,0.20325187602454717,0.1491603850558224,270
ga,405.8616352201258,0.2911564171136951,0.14563048841400253,270
ga,507.3270440251572,0.3645818933988399,0.14399074141422058,270
ga,608.7924528301887,0.4262971056306633,0.14337289537116557,270
ga,710.2578616352201,0.5030339809038727,0.13584162314845946,270
ga,811.7232704402516,0.552984244551819,0.12233346694630194,270
ga,913.188679245283,0.6023375788671637,0.11881023909893933,270
ga,1014.6540880503144,0.6407081675255494,0.11264025232283736,270
ga,1116.119496855346,0.6725197175229456,0.10884018309220671,270
ga,1217.5849056603774,0.6978805235707262,0.10585638788078033,270
ga,1319.0503144654087,0.7240889471913476,0.0949489942346956,270
ga,1420.5157232704403,0.7485326152069616,0.08823062342063355,270
ga,1521.9811320754716,0.7680478831386476,0.08754374141487432,270
ga,1623.446540880503,0.7835850854560148,0.08455419987343102,270
ga,1724.9119496855346,0.8007782823944077,0.08092794063997158,270
ga,1826.377358490566,0.8134953945209301,0.07729968417561818,270
ga,1927.8427672955975,0.8249642973521869,0.0759816749611259,270
ga,2029.3081761006288,0.8357983763794595,0.07308985582504077,270
ga,2130.7735849056603,0.8483413343685317,0.06957342249229737,270
ga,2232.238993710692,0.8598411797645235,0.06846366375289246,270
ga,2333.7044025157234,0.8696123144958464,0.06687717627905332,270
ga,2435.169811320755,0.8779370000919903,0.065000722973274,270
ga,2536.635220125786,0.8872260443959519,0.06289360403227269,270
ga,2638.1006289308175,0.8969983353412343,0.061355748644022344,270
ga,2739.566037735849,0.9038250350454006,0.05990147506212989,270
ga,2841.0314465408806,0.9099283459864639,0.05708357308302055,270
ga,2942.496855345912,0.9149515529872023,0.054970651443723616,270
ga,3043.962264150943,0.9195442872756165,0.05449624318311961,270
ga,3145.4276729559747,0.9246869298229646,0.05398077811172832,270
ga,3246.893081761006,0.9292120021508974,0.05232626510842558,270
ga,3348.3584905660377,0.9333390237484942,0.05190111912600467,270
ga,3449.8238993710693,0.9374009814058331,0.05200918706927769,270
ga,3551.2893081761003,0.9412459964259933,0.05211417706996429,270
ga,3652.754716981132,0.9454488075703943,0.052448647410816555,270
ga,3754.2201257861634,0.9491496147270296,0.05218330852387285,270
ga,3855.685534591195,0.9520401373163738,0.051563296213893606,270
ga,3957.1509433962265,0.954749149123791,0.051180302422905416,270
ga,4058.6163522012575,0.9568461591653854,0.05091445513262791,270
ga,4160.0817610062895,0.9592133131171063,0.05022623589250044,270
ga,4261.547169811321,0.961645739575454,0.049346144497594197,270
ga,4363.012578616352,0.963457669143381,0.04918457768054786,270
ga,4464.477987421384,0.9647664187188927,0.048935400258216535,270
ga,4565.943396226415,0.9663520855027212,0.0482765623046575,270
ga,4667.408805031447,0.9675347804007138,0.047920164152361104,270
ga,4768.874213836478,0.9684300004173668,0.04700191399925972,270
ga,4870.33962264151,0.9693852176454283,0.04626781939064715,270
ga,4971.805031446541,0.9702660829060217,0.045348054411966376,270
ga,5073.270440251572,0.9712004840313987,0.044000201855974884,270
ga,5174.735849056604,0.9722430228304284,0.04320173111137468,270
