algorithm,instance,profile_elapsed_seconds,profile_total_tt,n_evaluations,best_fitness,decoder_tt,objective_tt,operators_tt,selection_tt,local_search_tt,other_tt,decoder_pct,objective_pct,operators_pct,selection_pct,local_search_pct,other_pct
de,small_seed42,228.42105078697205,228.2719677,10315,552277686.7837336,173.52422940000002,0.9326109,0.9420404000000001,0.0,0.0,52.87308700000003,76.01644264443777,0.4085525302982702,0.4126833485038558,0.0,0.0,23.16232147676012
ga,small_seed42,202.82301664352417,202.71095420000012,8667,552277686.7837336,157.7940523,0.9487802000000001,0.6973164000000001,0.14465160000000002,0.0,43.1261537,77.84189706113077,0.46804584574344604,0.3439954208453919,0.07135855117986512,0.0,21.274703121100487
ga_sa,small_seed42,122.33643412590027,122.26510379999999,5646,552277686.7837336,94.8688686,0.5170257,0.3844011,0.0518496,0.08819450000000001,26.3547643,77.59276003657227,0.4228726627065605,0.31439968400861085,0.0424075213519755,0.07213382826245146,21.555426267098134
sa,small_seed42,18.22055983543396,18.206869799999996,788,514861522.9600281,14.161585500000001,0.0815057,0.04274170000000001,0.0,0.0,3.9210369,77.78154979720898,0.4476645403374061,0.2347558941735279,0.0,0.0,21.53602976828011
